,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"The tentative deal for the men’s golf circuits to join forces had a Dec. 31 deadline, but significant questions remained.","When the PGA Tour and the upstart LIV Golf league, which is bankrolled by Saudi Arabia’s sovereign wealth fund, announced their groundbreaking deal in June for the men’s golf circuits to join forces, they left most details unanswered and set a Dec. 31 deadline to figure them out.",2024-01-01T00:25:32+0000,article,Business Day,News,PGA Tour and Saudi-Backed LIV Extend Deadline to Finalize Deal,"Golf;Mergers, Acquisitions and Divestitures;Sovereign Wealth Funds;LIV Golf;PGA Tour Inc;Public Investment Fund (Saudi Arabia);Saudi Arabia;Fenway Sports Group"
1,Harry Zheng makes his New York Times debut.,Jump to: Today’s Theme | Tricky Clues,2024-01-01T00:32:06+0000,article,Crosswords & Games,News,Something to Whistle,Crossword Puzzles;Games
2,"Iranian-backed Houthi gunmen from Yemen had fired on American helicopters responding to an attack on a commercial ship, American officials said.","A clash between Iranian-backed Houthi fighters who were attacking a commercial freighter and U.S. Navy helicopters responding to the ship’s distress call ended on Sunday morning with the killing of all the crew members on three Houthi boats, the Pentagon said, a sharp escalation of violence at a moment when the White House is considering direct strikes on Iran’s proxies in the Middle East.",2024-01-01T00:53:23+0000,article,World,News,"U.S. Helicopters Sink 3 Houthi Boats in Red Sea, Pentagon Says",Israel-Gaza War (2023- );Ships and Shipping;Freight (Cargo);United States Defense and Military Forces;International Relations;Houthis;United States Navy;Red Sea;Yemen;Iran;Gaza Strip;Israel
3,New Year’s celebrations took place as protesters against the Israel-Hamas war staged demonstrations in Midtown Manhattan.,"Hundreds of thousands of people crowded into Times Square on Sunday night to ring in the New Year, amid heightened security and scattered demonstrations in Midtown Manhattan over the Israel-Hamas war.",2024-01-01T02:09:45+0000,article,New York,News,"In Times Square, Hundreds of Thousands Ring In 2024","New Year;Demonstrations, Protests and Riots;Israel-Gaza War (2023- );Times Square and 42nd Street (Manhattan, NY);Two Thousand Twenty Four"
4,"Quotation of the Day for Monday, January 1, 2024.","“It feels fun, a religious Jew being friends with an Arab.”",2024-01-01T03:59:09+0000,article,Corrections,Quote,"Quotation of the Day: In a Jewish-Arab School, an Oasis From Division but Not From Deep Fears",
5,"More than 90 percent of Palestinians in the territory say they have regularly gone without food for a whole day, according to the United Nations.","Walaa Zaiter’s four children have been hungry for weeks, but she can barely find them food.",2024-01-01T05:01:23+0000,article,World,News,"Half of Gazans Are at Risk of Starving, U.N. Warns",Israel-Gaza War (2023- );Food Insecurity;Palestinians;Refugees and Displaced Persons;Hamas;Israel;Gaza Strip
6,Followers of Afro-Brazilian religions have been displaced by New Year’s revelers. But they still find ways to make their offerings to the ocean.,"Each New Year’s Eve, more than two million revelers — twice as many as typically fill Times Square — dress in white and pack Copacabana Beach in Rio de Janeiro to watch a 15-minute midnight fireworks extravaganza.",2024-01-01T05:01:27+0000,article,World,News,How to Start the New Year? Keep the Sea Goddess Happy.,"Religion and Belief;New Year;Beaches;Brazil;Copacabana (Rio de Janeiro, Brazil);Rio de Janeiro (Brazil);vis-photo"
7,Your results will help you figure out how to have a more energetic 2024.,Your results will help you figure out how to have a more energetic 2024.,2024-01-01T05:05:23+0000,multimedia,Well,Interactive Feature,What’s Sapping Your Energy?,Content Type: Quiz;Content Type: Service;Sleep;Mental Health and Disorders;Dating and Relationships;Diet and Nutrition;Exercise;vis-design
8,Today’s challenge involves a little daytime rest.,"To kick off our 6-Day Energy Challenge, we’re focusing on daytime rest.",2024-01-01T05:09:24+0000,article,Well,News,Day 1: A 5-Minute Trick for More Energy,Content Type: Service;Sleep
9,Friction between the U.S. and Israel.,"No other episode in the past half-century has tested the ties between the U.S. and Israel so significantly as the current war in Gaza. President Biden’s initial resolve to stand by Israel has given way to frustrating phone calls, sharp public comments and exhausting marathon meetings as the relationship has grown fraught.",2024-01-01T05:49:05+0000,article,Briefing,briefing,Monday Briefing,
10,The competition show featuring drag queens comes back for a 16th season. The annual award show airs on CBS.,"Between network, cable and streaming, the modern television landscape is a vast one. Here are some of the shows, specials and movies coming to TV this week, Jan. 1-7. Details and times are subject to change.",2024-01-01T06:00:14+0000,article,Arts,News,What’s on TV This Week: ‘RuPaul’s Drag Race’ and the Golden Globes,Television;Movies
11,In case you need some puzzle help.,"Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.",2024-01-01T08:00:02+0000,article,Crosswords & Games,News,Today’s Wordle Review,Wordle (Puzzle)
