,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"In many ways, social change has made us a better nation.","U.S. democracy is clearly in crisis. It’s entirely possible that in less than two years dissenters will face the power of a government with an authoritarian bent; if that sounds to you like hyperbole, you aren’t paying attention.",2023-11-07T00:00:10+0000,article,Opinion,Op-Ed,Why Does the Right Hate America?,"United States;Social Conditions and Trends;Urban Areas;Suicides and Suicide Attempts;Income Inequality;Divorce, Separations and Annulments;Teenage Pregnancy;Crime and Criminals;Conservatism (US Politics)"
1,"After saying she would stay neutral in her state’s 2024 caucuses, angering Donald Trump in the process, Ms. Reynolds said “we have too much at stake.”",Gov. Ron DeSantis of Florida needed a lift in his quest to beat former President Donald J. Trump in the crucial Iowa caucuses.,2023-11-07T00:08:18+0000,article,U.S.,News,"DeSantis Lands a Big Endorsement: Kim Reynolds, Iowa’s Popular Governor","DeSantis, Ron;Reynolds, Kimberly (1959- );Trump, Donald J;Republican Party;Presidential Election of 2024;Endorsements;Primaries and Caucuses;United States Politics and Government;Governors (US)"
2,"President Biden’s influence over Israel and Ukraine seems far more constrained than expected, given his central role as the supplier of arms and intelligence.","After four weeks of terror and retaliation in Israel and Gaza, and 20 months of war in Ukraine, President Biden is confronting the limits of his leverage in the two international conflicts defining his presidency.",2023-11-07T00:44:26+0000,article,U.S.,News,Biden Confronts the Limits of U.S. Leverage in Two Conflicts,"United States Politics and Government;United States International Relations;Israel-Gaza War (2023- );Russian Invasion of Ukraine (2022);Biden, Joseph R Jr;Netanyahu, Benjamin;Zelensky, Volodymyr;Gaza Strip;Israel;Ukraine;Russia"
3,"The figures could not be independently verified, but a Pentagon spokesman acknowledged on Monday that “we know the numbers are in the thousands.”","In just under a month, Israeli strikes have killed more than 10,000 people in Gaza and injured more than 25,000 others, the Gaza Health Ministry said on Monday.",2023-11-07T01:13:02+0000,article,World,News,"Gaza Death Toll Has Hit 10,000, Its Health Ministry Says","Israel-Gaza War (2023- );Civilian Casualties;Defense Department;Guterres, Antonio;Gaza Strip;Israel"
4,"The publication of the apparent excerpts by a conservative commentator enraged the parents of surviving students, who have been fighting to keep the writings from ever becoming public.","A conservative political commentator published three photographs on Monday that appeared to show excerpts from writings by the shooter who killed six people at a Nashville Christian school, enraging parents of the surviving students and prompting an investigation into the leak.",2023-11-07T01:16:32+0000,article,U.S.,News,Excerpts From Nashville School Shooter’s Writings Are Published Online,"Covenant School, Nashville, Tenn, Shooting (2023);Mass Shootings;Nashville (Tenn);School Shootings and Armed Attacks;Freedom of the Press"
5,"Chris Christie, Ron DeSantis, Nikki Haley, Vivek Ramaswamy and Tim Scott will meet again on the stage on Wednesday night, but Doug Burgum missed the cut.","Five candidates have qualified for the third Republican presidential debate on Wednesday evening, the Republican National Committee announced on Monday.",2023-11-07T01:58:05+0000,article,U.S.,News,Here’s Who Qualified for the Third Republican Presidential Debate,"Republican Party;Presidential Election of 2024;Debates (Political);United States Politics and Government;Christie, Christopher J;DeSantis, Ron;Haley, Nikki R;Ramaswamy, Vivek (1985- );Scott, Timothy Eugene"
6,"Nine months after settling into a new life in the park, Flaco turned up about five miles away on a tree branch in a sculpture garden.","Flaco the Eurasian eagle-owl, whose February escape from the Central Park Zoo captured the public’s attention in New York and beyond, turned up in Manhattan’s East Village on Monday, about five miles from the wooded park area he had settled into since flying free.",2023-11-07T02:08:38+0000,article,New York,News,"Flaco the Owl, Zoo Escapee, Leaves Central Park for the East Village","Owls;Zoos;Central Park Zoo;Kenkeleba House (Manhattan, NY, Gallery);Central Park (Manhattan, NY);East Village (Manhattan, NY)"
7,"The move is a blow for landlords who have rented space to the co-working group, which is planning a “comprehensive reorganization” that includes cutting some of its leases.","WeWork, the real estate company that offered start-ups and individuals sleek quarters to pursue their entrepreneurial dreams, filed for bankruptcy protection in the United States on Monday after years of struggling to find its footing.",2023-11-07T02:23:09+0000,article,Business Day,News,WeWork Files for Bankruptcy Amid Glut of Empty Offices,"Co-Working;Bankruptcies;Real Estate (Commercial);Renting and Leasing (Real Estate);WeWork Companies Inc;SOFTBANK Corporation;Mathrani, Sandeep;Tolley, David M"
8,Kevin Curry and Daniel Bodily tee up their first collaboration for The New York Times.,Jump to: Today’s Theme | Tricky Clues,2023-11-07T03:00:07+0000,article,Crosswords & Games,News,Conditions,Crossword Puzzles
9,"A jury in Tallahassee found Charles Adelson guilty of murder and conspiracy in the 2014 death of his former brother-in-law, Dan Markel.","For nearly a decade, the sensational killing of a prominent Florida law professor in 2014 centered on a single, sordid question: Did his ex-wife’s family, motivated by an ugly custody dispute, hire hit men to murder him?",2023-11-07T03:02:15+0000,article,U.S.,News,Florida Dentist Convicted in Murder-for-Hire Plot Against Law Professor,"Murders, Attempted Murders and Homicides;Decisions and Verdicts;Divorce, Separations and Annulments;Florida State University;Garcia, Sigfredo (1982- );Magbanua, Katherine;Markel, Dan (1972-2014);Adelson, Charles"
10,"Corrections that appeared in print on Tuesday, Nov. 7, 2023.","A quotation highlighted in an article on Sunday about injuries suffered by U.S. troops who  fired vast numbers of artillery rounds against the Islamic State misidentified the speaker, a former gunner who killed a man during a psychotic episode. It was Brady Zipoy,  not Austin Powell. ",2023-11-07T03:53:04+0000,article,Corrections,Correction,"Corrections: Nov. 7, 2023",
11,"Quotation of the Day for Tuesday, November 7, 2023.","“We have this romantic idea that if we eat the same food and break the same bread somehow we can come together, but that doesn’t seem to be the case here.”",2023-11-07T04:21:01+0000,article,Corrections,Quote,"Quotation of the Day: Amid Mideast Violence, Food Can’t Offer a Route to Peace",
12,"Israel’s military surrounded Gaza City as the enclave plunged into another communications blackout, sowing panic among relatives fearful of the fate of loved ones who remain there.","The Israeli military said its forces had split the Gaza Strip in two after a night of heavy airstrikes, a move that Israel said would make it more difficult for Hamas to control the enclave.",2023-11-07T04:31:47+0000,article,World,News,Israel Says It Has Split Gaza Strip in Two in Drive to Isolate Hamas’s Leadership,Israel-Gaza War (2023- );Defense and Military Forces;Palestinians;Communications and Media Blackouts;Hamas;Gaza Strip;Israel
13,The episode occurred in a suburb outside Los Angeles amid pro-Israel and pro-Palestinian demonstrations.,"As a fatal clash between suburban protesters in Southern California threatened to become an international incident on Tuesday, the authorities said that it wasn’t “exactly crystal clear” how a 69-year-old Jewish man died from an altercation with a pro-Palestinian demonstrator over the weekend.",2023-11-07T04:48:29+0000,article,U.S.,News,Jewish Man’s Death After California Protest Clash Is Under Investigation,"Demonstrations, Protests and Riots;Jews and Judaism;Israel-Gaza War (2023- );Palestinians;Murders, Attempted Murders and Homicides;Hate Crimes;Thousand Oaks (Calif)"
14,"All 140 seats in Virginia’s General Assembly are on the ballot, and Republicans led by Gov. Glenn Youngkin are seeking full control of the state government.","[Here’s how to vote in Ohio, New York, New Jersey, Mississippi, and Kentucky.]",2023-11-07T05:01:08+0000,article,U.S.,News,"Virginia: How to Vote, Where to Vote and What’s on the Ballot","State Legislatures;United States Politics and Government;Voting Rights, Registration and Requirements;Elections, State Legislature;Virginia"
15,The governor’s race is the state’s marquee contest on Tuesday.,"[Here’s how to vote in Ohio, New York, New Jersey, Mississippi, and Virginia.]",2023-11-07T05:01:09+0000,article,U.S.,News,"Kentucky: How to Vote, Where to Vote and What’s on the Ballot","Voting Rights, Registration and Requirements;Beshear, Andrew G (1977- );Cameron, Daniel J (1985- );Kentucky;United States Politics and Government;Elections, Governors"
16,"The state’s Republican governor, Tate Reeves, is facing a credible threat from his Democratic challenger, Brandon Presley.","[Here’s how to vote in Ohio, New York, New Jersey, Kentucky, and Virginia.]",2023-11-07T05:01:16+0000,article,U.S.,News,"Mississippi: How to Vote, Where to Vote and What’s on the Ballot","Voting Rights, Registration and Requirements;Politics and Government;Elections, Governors;Reeves, Tate (1974- );Presley, Brandon (1977- );Mississippi;United States Politics and Government"
17,"All of the seats in the State Legislature are on the ballot, and Republicans are hoping to make gains.","[Here’s how to vote in Ohio, New York, Mississippi, Kentucky, and Virginia.]",2023-11-07T05:01:17+0000,article,U.S.,News,It’s Election Day in New Jersey: Here’s What to Know,"States (US);Elections, Mayors;Politics and Government;Elections, State Legislature;Local Government;Democratic Party;Republican Party;New Jersey;Redistricting and Reapportionment"
18,"On Election Day, voters in Ohio will decide on two ballot measures: one on abortion rights and one on the recreational use of marijuana.","[Here’s how to vote in New Jersey, New York, Mississippi, Kentucky, and Virginia.]",2023-11-07T05:01:20+0000,article,U.S.,News,"Ohio: How to Vote, Where to Vote and What’s on the Ballot","Voting Rights, Registration and Requirements;Abortion;Marijuana;Ohio"
19,"Although no citywide offices are being contested this year, the New York City Council is up for election, and voters statewide will consider two ballot questions.","[Here’s how to vote in New Jersey, Ohio, Mississippi, Kentucky, and Virginia.]",2023-11-07T05:01:26+0000,article,New York,News,It’s Election Day in New York: Here’s What to Know,"Content Type: Service;Elections, City Councils;Elections, District Attorneys;Referendums;Voting and Voters;City Council (NYC);Brannan, Justin L;Kagan, Ari;New York City;New York State;Democratic Party;Republican Party"
20,"In a chatty and candid new memoir, Barbra Streisand talks about her early determination to be famous and tallies the hurdles and helpers she met along the way.","Hello, enormous.",2023-11-07T05:01:38+0000,article,Books,Review,"Her Name Is Barbra, but It Wasn’t Always","Theater;Books and Literature;Movies;Music;Content Type: Personal Profile;Flatbush (Brooklyn, NY);Funny Girl (Play);My Name Is Barbra (Book);Conroy, Pat;Brolin, James;Laurents, Arthur;Streisand, Barbra;Yentl (Movie);Funny Girl (Movie);I Can Get It for You Wholesale (Play)"
21,"The Brazilian government has raided neo-Nazi groups across 10 states this year, part of a push by the new Lula administration to prosecute far-right extremists.","In southern Brazil in July, Laureano Toscani and João Guilherme Correa were smoking cigarettes along a busy road in their prison-issued garb, shorts and sandals, waiting for a ride after seven months in jail.",2023-11-07T05:01:38+0000,article,World,News,Brazil Cracks Down on Surprising New Threat: Neo-Nazis,"Neo Nazi Groups;Right-Wing Extremism and Alt-Right;Anti-Semitism;Hate Crimes;Holocaust and the Nazi Era;Bolsonaro, Jair (1955- );Brazil"
22,The death toll in Gaza climbs.,"Nearly a month after Israel began its bombardment of Gaza, the territory’s Hamas-run health ministry said more than 10,000 people had been killed and more than 25,000 injured. The figures could not be independently verified, but a Pentagon spokesman said that “we know the numbers are in the thousands.”",2023-11-07T05:01:40+0000,article,Briefing,briefing,Tuesday Briefing,
23,Ukrainians have been infantilized by the need to vie for international interest.,"The day Hamas attacked Israel, I unexpectedly reunited with my best friend in Kyiv.",2023-11-07T06:00:12+0000,article,Opinion,Op-Ed,"I’m a Ukrainian, and I Refuse to Compete for Your Attention",Ukraine;Russian Invasion of Ukraine (2022);Russia
24,"In verse and in color, a Nobel physicist and a visual artist collaborate to portray black holes, gravitational waves and other preposterous features of Einstein’s universe.","If you have ever wondered what it might feel like to be sucked into a black hole — twisted, stretched, confused, doomed — you could do worse than trip through “The Warped Side of Our Universe, An Odyssey Through Black Holes, Wormholes, Time Travel and Gravitational Waves,” a collaborative book project by Kip Thorne, a physicist at the California Institute of Technology, and Lia Halloran, a visual artist and chair of the art department at Chapman University in Orange, Calif.",2023-11-07T06:00:24+0000,article,Science,News,‘Vortenses’ and the Storms of Space-Time,"Space and Astronomy;Physics;Black Holes (Space);Gravitation and Gravity;Poetry and Poets;Laser Interferometer Gravitational-Wave Observatory (LIGO);Thorne, Kip S;your-feed-science"
25,"The 2019 fire near Santa Barbara killed all 33 passengers of the dive boat. On Monday, a federal jury found the captain guilty of “seaman’s manslaughter.”","The captain of a dive boat that caught fire off the coast of Southern California in 2019, killing all 33 passengers and one of its six crew members, was found guilty by a federal jury on Monday on one count of an offense known as “seaman’s manslaughter.”",2023-11-07T06:07:21+0000,article,U.S.,News,California Boat Captain Convicted of Manslaughter in Fire That Killed 34,"Fires and Firefighters;Boats and Boating;Deaths (Fatalities);National Transportation Safety Board;Boylan, Jerry N;Santa Cruz (Calif);California;vis-video"
26,This word has appeared in 83 articles on NYTimes.com in the past year. Can you use it in a sentence?,"The word onus has appeared in 83 articles on NYTimes.com in the past year, including on Sept. 23 in the Opinion essay “We’re Teaching Music to Kids All Wrong” by Sammy Miller:",2023-11-07T07:00:02+0000,article,The Learning Network,News,Word of the Day: onus,
27,"“Polling a year ahead of an election is always super-accurate — and if you don’t believe me, just ask President Hillary Clinton,” Jimmy Kimmel said.","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",2023-11-07T07:02:10+0000,article,Arts,News,Late Night Riffs on Trump’s Lead Over Biden in Early Poll,"Television;The Daily Show with Trevor Noah (TV Program);The Tonight Show (TV Program);Kimmel, Jimmy;Jimmy Kimmel Live (TV Program);Fallon, Jimmy"
28,"In keeping with tradition, he outlined the priorities of the prime minister at the opening of Parliament — including, this year, more fossil fuel extraction.","For a lifelong supporter of environmental causes, a plan to expand oil and gas drilling in the North Sea was probably not what King Charles III had hoped to announce when he opened Britain’s Parliament for the first time as monarch.",2023-11-07T07:50:41+0000,article,World,News,"King Charles III, Climate Advocate, Delivers Speech at Odds With His Beliefs","Royal Families;Politics and Government;Global Warming;Oil (Petroleum) and Gasoline;Speeches and Statements;Buckingham Palace;Conservative Party (Great Britain);Labour Party (Great Britain);Charles III, King of the United Kingdom;Elizabeth II, Queen of Great Britain;Sunak, Rishi (1980- );Victoria, Queen of Great Britain;Great Britain;London (England);North Sea;vis-video"
29,In case you need some puzzle help.,"Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.",2023-11-07T08:00:02+0000,article,Crosswords & Games,News,Today’s Wordle Review,Wordle (Puzzle)
30,Feeling stuck on today’s puzzle? We can help.,"Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.",2023-11-07T08:00:03+0000,article,Crosswords & Games,News,Spelling Bee Forum,Spelling Bee (Game)
31,In case you need some puzzle help.,"Good morning, dear connectors. Welcome to today’s Connections forum, where you can give and receive puzzle — and emotional — support.",2023-11-07T08:00:03+0000,article,Crosswords & Games,News,The Connections Companion,Crossword Puzzles;Connections (Game)
32,Do you look forward to “falling back” an hour — or dread it?,"Sunday marked the end of Daylight Saving Time, where, in some parts of the world, including the United States, people set their clocks back an hour. ",2023-11-07T08:00:05+0000,article,The Learning Network,News,Time Change,
33,The Upshot’s N.F.L. Playoff Simulator is churning out options for the 10th straight year.,"There are some drawbacks to being a Minnesota Vikings fan, said Kevin Quealy, editor of The Upshot, The New York Times’s data-driven site about politics, economics and everyday life. His team has never won the Super Bowl, and just trying to calculate their playoff odds can become a headache. Even sportscasters appear to be run ragged by the probabilities.",2023-11-07T08:00:09+0000,article,Times Insider,News,"N.F.L. Fans, Take a Number for Your Team’s Chances",New York Times;Football;Playoff Games;National Football League
34,The former president took the witness stand Monday in a Manhattan courtroom as he tried to preserve the business empire that made his name.,Donald J. Trump took the witness stand on Monday in a packed New York courtroom in a trial that threatens the business empire underpinning his public persona as he kicks off another run for the White House.,2023-11-07T08:00:16+0000,article,New York,News,5 Things We Learned During Trump’s Trial Testimony,"New York State Civil Case Against Trump (452564/2022);Trump, Donald J;Trump Organization;Engoron, Arthur F;James, Letitia"
35,New Yorkers are reacquainting themselves with the subway code — no eye contact; no stinky food — as the city rebounds from the coronavirus pandemic.,There are unwritten rules when riding the New York City subway.,2023-11-07T08:00:28+0000,article,New York,News,Does Anyone Know How to Behave on the Subway Anymore?,"Subways;Customs, Etiquette and Manners;Quarantine (Life and Culture);Coronavirus (2019-nCoV);New York City;Metropolitan Transportation Authority"
36,Presidential debates weren’t always so hostile.,Presidential debates weren’t always so hostile.,2023-11-07T09:50:06+0000,multimedia,Opinion,Video,From Substance to Shouting: The Demise of Political Debate in America,Debates (Political);Politics and Government;Presidential Election of 2020;your-feed-opinionvideo
37,"In “Sins of the Shovel,” Rachel Morgan describes the dark, chaotic early days of American archaeology.",Archaeology in its formative years was often less a meticulous science than an exercise in vandalism.,2023-11-07T10:00:18+0000,article,Books,Review,Grave Robbers of the Wild West,"Archaeology and Anthropology;Arts and Antiquities Looting;Books and Literature;Native Americans;Historic Buildings and Sites;Indigenous People;National Parks, Monuments and Seashores;Chaco Culture National Historical Park (New Mexico);Morgan, Rachel (Archaeologist)"
38,Naomi Alderman’s new novel imagines an end of the world that only the wealthiest can survive — or can they?,"There are few figures in the Bible more cruelly evocative than Lot’s wife, who is transfigured into a pillar of salt for looking back at Sodom. The poet Anna Akhmatova mourned “her swift legs rooted to the ground”; Kurt Vonnegut wrote of her backward glance, “I love her for that, because it was so human.” Naomi Alderman’s “The Future,” like much great science fiction, turns the symbolic into tangible, chemical reality. Early in her novel, a woman is frozen to death with a chemical refrigerant made of paramagnetic salts: a Lot’s wife for the Information Age.",2023-11-07T10:00:24+0000,article,Books,Review,"In ‘The Future,’ Earth Barrels Toward Fiery Destruction","Books and Literature;Alderman, Naomi;The Future (Book)"
39,"In Jonathan Evison’s new novel, “Again and Again,” a curmudgeonly old man in an elder-care facility finds an unlikely connection as he recounts the stories of his past lives.","It is “the most beautiful of all possible worlds,” a chapter heading proclaims at the beginning of Jonathan Evison’s new novel, “Again and Again.” But it’s easy to doubt this cheerful echo of “Candide” as we are introduced to the book’s protagonist, Eugene Miles, a centenarian curmudgeon living in an elder-care facility in the California desert who insists — a bit too loudly and often — on his desire to be left alone to await death.",2023-11-07T10:00:36+0000,article,Books,Review,"He Believes He’s Been Reincarnated. Here’s His Tale of Life, Love and Fate.","Books and Literature;Evison, Jonathan;Again and Again (Book)"
40,"For starters, don’t worry if there isn’t much space: “The closer the people are, the better the party.”",Serving a meal is about more than just feeding your guests.,2023-11-07T10:00:41+0000,article,Real Estate,News,Setting a Table for the Holidays? Designers Share Their Secrets.,Real Estate and Housing (Residential);Interior Design and Furnishings;Restoration and Renovation;Home Repairs and Improvements;Tableware;Content Type: Service;Holidays and Special Occasions;Thanksgiving Day
41,"As ever-larger telescopes are launched into space or built at high-altitude sites, these observatories still have wonders to share with visitors and astronomers alike.","At the top of Mount Hamilton, near San Jose, Calif., Lick Observatory looks out over the dense sprawl of the San Francisco Bay Area. On a clear day from the 4,200-foot summit, you can see San Francisco to the north, as well as the entrance to Yosemite Valley, 120 miles east, as the crow flies. At night you can see even farther — millions of light-years into space.",2023-11-07T10:00:42+0000,article,Travel,News,Gazing Into the Past and Future at Historic Observatories,"Space and Astronomy;Historic Buildings and Sites;Telescopes and Observatories;Travel and Vacations;Stars and Galaxies;Pollution;Lowell Observatory (Flagstaff, Ariz);Mount Wilson Observatory;Arizona;California;San Jose (Calif)"
42,"Symptoms can linger for days or weeks after testing negative, even for those who don’t develop long Covid.","Q: It’s been a week since I tested negative for Covid, but I don’t feel totally better. Why am I still sick?",2023-11-07T10:00:45+0000,article,Well,News,I Just Got Over Covid but Still Feel Awful,Coronavirus (2019-nCoV);Long Covid;Content Type: Service;Immune System
43,"The 32-year-old’s work in Zulu and English traverses styles and explores queer histories. This week he releases a new EP, “The Baddies of Isandlwana.”","On a crisp Thursday morning hours before Desire Marea’s performance at the Transform Festival in Leeds, England, earlier this month, the South African songwriter sat in Kirkstall Valley Nature Reserve, communing with his Zulu ancestors. It’s a practice he honed through his training as a sangoma, a traditional spiritual healer, and it is essential to his craft.",2023-11-07T10:01:05+0000,article,Arts,News,"Desire Marea’s Genre-Melting Music Stirs South Africa, and the World","Zulus;Music;Content Type: Personal Profile;Homosexuality and Bisexuality;Marea, Desire;South Africa"
44,"In the world of special occasion baked goods, pastry chefs are embracing the birthday party staple for its vast canvas.","The Los Angeles-based baker Michelle Boulos can still picture the sheet cakes she ate as a child: slathered with bright white frosting, decorated with tiny plastic balloons. But the confections she makes and sells via her Instagram account No Good Cakes are something else entirely. On one recent creation, frills of buttercream surrounded an acid green ombré surface inspired by a chemical spill. On another, foraged blooms sprouted from bronze-colored barnacles, some of them embedded with tiny light bulbs. Boulos, 34, started baking the fantastical cakes out of her home in 2022 after making one for a wedding. “I got bitten by the sheet cake bug,” she says. “It can be so versatile but also really complex.”",2023-11-07T10:01:05+0000,article,T Magazine,News,How the Humble Sheet Cake Became Top Tier,Cakes;Bakeries and Baked Products;Cooking and Cookbooks;Desserts
45,"The Palestinian policy analyst and writer Amjad Iraqi on how Gaza’s past, present and future look from his eyes.","Before there can be any kind of stable coexistence of Israelis and Palestinians, there will have to be a stable coexistence of narratives. And that’s what we’ll be attempting this week on the show: to look at both the present and the past through Israeli and Palestinian perspectives. The point is not to choose between them. The point is to really listen to them. Even — especially — when what’s being said is hard for us to hear.",2023-11-07T10:01:28+0000,article,Opinion,Op-Ed,Why Palestinians Feel They’ve Been ‘Duped’,"audio-neutral-informative;Israel-Gaza War (2023- );Palestinians;Terrorism;Politics and Government;Iraqi, Amjad;Netanyahu, Benjamin;Hamas;Gaza Strip;Israel"
46,"Sequins, paillettes and rhinestones light up this season’s shoes and bags.",,2023-11-07T10:01:38+0000,article,T Magazine,News,Winter Accessories That Sparkle and Shine,Shoes and Boots;Accessories (Apparel);Dolce & Gabbana;Balenciaga (Fashion Label);Celine (Fashion Label)
47,"On one of the most Parisian streets in the city, two interior designers create a new kind of French fantasy.","IN THE CENTER of Paris, in the First Arrondissement, around the corner from the Jardin du Palais-Royal — with its orderly tree-lined promenades — there’s a ragged bistro called Juveniles at which tourists jostle for tables and locals buy bottles of wine to bring home after work. It’s a true neighborhood spot in an office-dominated district where most Parisians could never imagine living, even if they wanted to: Nearby are the Louvre, the Opéra Garnier, Sainte-Chapelle and other landmarks so intrinsic to the grand cinematic vision of the city that the relatively few apartments that become available around here are almost immediately snatched up.",2023-11-07T10:01:40+0000,article,T Magazine,News,A Wood-Lined Retreat in the Heart of Paris,Interior Design and Furnishings;Paris (France)
