video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7328672125441658117,2024-01-27T02:10:53,6.0,US,"when you see cute guy in public, when u see guy in public, people being cute, elsarca song",479600.0,7373.0,6081.0,5000000.0,🫣,False,,elsarca,Elsarca,,,,,,False
7326611895509585185,2024-01-21T12:56:09,18.0,GB,"Eggs, Ghanaian Food, Cracking Egg, Egg Breakfast, Boiling Eggs, Eggs For Breakfast, rotten egg, Fried Egg, Egg With Feathers In It, peeling egg",36700.0,722.0,797.0,204800.0,Sad story 💔 #ghanatiktok🇬🇭 #ghana #egg #emichael_ ,False,,e.michael_,Michael,,,,,,False
7324765984139644192,2024-01-16T13:33:06,178.0,IT,"ateez mama 2023, Ateez, treasure, idols reaction to ateez, bounce ateez, seventeen reaction to ateez, treasure mama 2023, San ATEEZ, yoshi bounce ateez, treasure reaction ateez",449200.0,886.0,1230.0,3000000.0,TREASURE ZB1 reaction to ATEEZ - Bouncy🔥 #ateez_official_ #ateez #atiny #treasure_yg #teume #zerobaseone #zb1 #awardshow #kpopreaction #mama2023 #jaehyunsocks ,False,,jaehyunsocks_2,:),,,,,,False
7329768535524429102,2024-01-30T01:05:45,28.0,US,,33800.0,339.0,103.0,284500.0,dc: @50ShadesOfShayy: 🤣🤣 ,False,,kylaa134,kyla robinson,,,,,,False
7338541911629745414,2024-02-22T16:30:41,11.0,NG,,920.0,8.0,12.0,5966.0,Do it first your body go tell you😭😂#fyppppppppppppppppppppppp #viral #fypシ #relatable #fyp #law #bazeuniversity ,False,,itz_queenbel,Queenbel🤧,,,,,,False
7340017315729214726,2024-02-26T15:56:00,0.0,TR,,10.0,0.0,0.0,172.0,caldin benden  #kesfet #kesfetteyiz #kesfetbeniöneçıkart #kesfett #fyp #fyppppppppppppppppppppppp #fypシ #spotify #muzik #ilyasyalcintas ,False,,yapayalnizkaldimhayatbok,yapayalnizkaldimhayatbok,,,,,,False
7326252390619909419,2024-01-20T13:41:38,27.0,US,"Morning Routine, Morning Routine Videos, Good Morning Videos, Good Morning, early morning routine, Morning Vibes, Aesthetic Morning Routine, Slow Morning Routine, 8 Am Morning Routine, 6:00 Am Morning Routine",34600.0,78.0,762.0,303300.0,"We’re having a pretty girl good morning, how bout YOU??  #goodmorningprettygirls #morningroutine #morningritual ",False,,mrvaughntrainor,Mrvaughntrainor,,,,,,True
7337956515376155937,2024-02-21T02:39:18,0.0,GB,,118.0,0.0,2.0,4566.0,Dumpa#fyp#songoftheday#viral#illblu#m24#unknownT#foryou#foryoupage#anthemoftheday ,False,,anthem.of.the.day,anthem.of.the.day,,,,,,False
7339938632880442657,2024-02-26T10:50:41,5.0,GB,"Fashion Dresses, murci dress, Mini Dresses, Mini Dress Outfits, Black Mini Dress, Murci Dress Ideas, Black Dress, Mini Dresses Ideas, Mini Dress Outfit Ideas, mini white dress",1850.0,6.0,47.0,13900.0,🍷 #dress #murci #fashion #mini ,False,,.jadelara,Jadé Lara,,,,,,False
7339677094655315232,2024-02-25T17:55:53,28.0,GB,"jada kingdom, teyana taylor, Shenseea, megan thee stallion, teyana taylor concert, jada kingdom on stage, jada kingdom stage with man, sza concert, Omah lay, shenseea concert",1400000.0,4438.0,6413.0,9800000.0,With this omah lay situation i’m just saving my homegirls from embarrazzment😭🙏🏾,False,,ese,Esé,,,,,,False
7335548459828956422,2024-02-14T14:54:35,9.0,GH,,8156.0,7.0,73.0,112100.0,Invite me out and see drip 🤣 #iam_almed #CapCut  ,False,,iam_almed,ALMED ©,,,,,,False
7322042746565332226,2024-01-09T05:25:37,21.0,AU,,1909.0,136.0,40.0,40600.0,"What we ordered: Iced Uji matcha latte* $7 ✅✅ Iced Shizuoka Hojicha latte $7 ✅ *matcha latte is on the sweeter end, so if you prefer your matcha stronger/more bitter you might not like it. 📍 Edition Roasters, Haymarket (✅✅ means I'd 100% order it again, ✅ means it's good to try, no tick means I'd be happy not to order it) #sydneyfood #sydneyfoodie #sydneydrinks #matchalatte #icedmatchalatte #sydneycafe iced matcha latte in Sydney cafe ",False,,sydneyfoodboy,SYDNEY FOOD BOY,,,,,,False
7327699998114663713,2024-01-24T11:18:31,23.0,NO,,8104.0,79.0,252.0,99900.0,One time for #🇸🇩 #foryou #foryoupage #tony_dancer1 ,False,,tony_dancer1,Tony_dancer,,,,,,False
7336647872743623968,2024-02-17T14:00:52,56.0,BE,"dystinct, la dystinct lyrics, dystinct concert, la dystinct song, la by dystinct, concert, Concert Performance, concert events, Live Nation Concerts, Business - Dystinct",307700.0,11200.0,1629.0,2700000.0,LA // Dystinct World Tour // 14.02.2024  #dystinct #brussels #belgium #concert #dimamaghrib #la #layali ,False,,rabiaatours,Rabiaa Tours,,,,,,False
7339675479697378593,2024-02-25T17:49:39,52.0,GB,,408.0,2.0,9.0,3093.0,Training 🕺🏾… #azonto #ghanatiktok🇬🇭 #fy #emichael_ ,False,,e.michael_,Michael,,,,,,False
7323630979938094343,2024-01-13T12:08:43,18.0,NG,,12100.0,10.0,57.0,94900.0,Taliban challenge w @〽️Curly Hair Kid 🧑🏻‍🦱  @Ocean 🌊   #foryoupage #abujalife #mixed ,False,,katysice,Katysicee,,,,,,False
7340038522159500550,2024-02-26T17:18:17,19.0,CA,,174.0,1.0,13.0,1542.0,Imagining myself on a sunny beach rn😩💇🏽‍♀️🏝️ #toronto #torontotiktok #foryou #fulanibraids ,False,,sel4evr,SEL4EVR,,,,,,False
7339225313697680673,2024-02-24T12:42:41,0.0,GB,"Anne Boleyn, Matoaka, Matoaka Real Story, Marilyn Monroe, anne boleyn explained, who is anne boleyn, queen anne boleyn, The Tudors Anne Boleyn, Marilyn Monroe Movies, Anne Boleyn Queen Of England",544800.0,492.0,1301.0,4300000.0,#horrifying #scary#thetudors#anneboleyn#WWI#catherineparr #marilynmonroe#joanofarc#princesinthetower #matoaka #history#historytok#fyp#fypシ ,False,,history.girlie,history girlie 💋,,,,,,False
7338517559706127621,2024-02-22T14:56:10,8.0,US,if something is small its itsy bitsy,15400.0,226.0,197.0,73200.0,Sorry? 😭IG:joshien_ #fyp#joshien #viral#funny#nigeria#usa ,False,,joshua_nuka,joshua_nuka,,,,,,False
7339983546863357214,2024-02-26T13:45:08,67.0,US,"niqueyv, Niqueyv And Castro, castro, dominican girl, dominican, castro and doris, castro and his wife, niqueyv and castro kiss, girls all over the world, Dominican Songs",87200.0,121.0,193.0,685100.0,Bros tryna D1E! #fyp #viral #girls #latina  #trending #castro #dominican ,False,,castroirl,Castro Plug 🔌,,,,,,False
